label,lat,long
03-Lucilia sericata,28.002470,-15.421466
04-Apus unicolor,28.002595,-15.420810
05-Phylloscopus canariensis,28.002691,-15.421650
06-Gryllotalpa grillotalpa,28.002494,-15.421223
07-Pieris rapae,28.002876,-15.420805
08-Gallotia stehlini,28.003577,-15.420860
13-Eritalis tenax,28.002992,-15.421551
14-Coccinella algerica,28.002469,-15.421454
15-Schistocerca gregaria,28.002633,-15.421139
16-Desconocido,28.002461,-15.421489
17-Argiope bruennichi,28.002491,-15.421508
18-Messor minor hesperius,28.002572,-15.421267
19-Trichoplusia ni,28.002800,-15.421326
20.-Phyllognathus excavatus,28.002409,-15.421449
21-Theba pisana,28.002560,-15.421073
22-Calliptamus plebeius,28.002508,-15.421224